alpha,ee_d_interval,n_qids,mean_ee_d,mean_ee_r,mean_eu
1,[0.0-0.2),581,0.11277489156626505,0.2062416660929432,0.20152863518711395
1,[0.2-0.4),164,0.2883638475609756,0.4026137621951219,0.2901270687527642
1,[0.4-0.6),60,0.49245371666666665,0.53289925,0.3417527439190613
1,[0.6-0.8),28,0.6669643214285713,0.675040357142857,0.42799244616283166
1,[0.8-1.0],0,,,
2,[0.0-0.2),524,0.1253392671755725,0.20836479007633588,0.21174857156521038
2,[0.2-0.4),140,0.2957142928571429,0.3068095785714286,0.2445201020662671
2,[0.4-0.6),113,0.4843411769911504,0.46329638938053097,0.30958522454767395
2,[0.6-0.8),55,0.6855050727272727,0.638405509090909,0.3944137847243472
2,[0.8-1.0],1,0.844444,0.75,0.7694535793690891
4,[0.0-0.2),1,0.180556,0.45,0.35492196310970514
4,[0.2-0.4),41,0.32669375609756096,0.20511551219512197,0.22044037881350365
4,[0.4-0.6),140,0.5150991785714285,0.26021987857142853,0.25817317935565737
4,[0.6-0.8),393,0.7157266234096692,0.2950573078880407,0.2571675067332454
4,[0.8-1.0],258,0.8659667945736435,0.37817122868217057,0.29163739698758395
8,[0.0-0.2),0,,,
8,[0.2-0.4),5,0.3,0.22076920000000003,0.4280461533868169
8,[0.4-0.6),3,0.4814813333333334,0.288889,0.3320428062495897
8,[0.6-0.8),21,0.7443121904761905,0.36069261904761907,0.2734962451603661
8,[0.8-1.0],804,0.9700490074626865,0.31408911194029854,0.2676157618382966
