alpha,ee_d_interval,n_qids,mean_eu_stochastic,mean_eu_deterministic,eu_diff_st_minus_det,mean_ee_d_stochastic,mean_ee_r_stochastic
1,[0.0-0.2),581,0.20152863518711395,0.27123745166149643,-0.06970881647438248,0.11277489156626505,0.20624166609294323
1,[0.2-0.4),164,0.2901270687527642,0.3749055564812238,-0.08477848772845964,0.28836384756097555,0.402613762195122
1,[0.4-0.6),60,0.3417527439190613,0.39900386847411046,-0.05725112455504916,0.49245371666666665,0.53289925
1,[0.6-0.8),28,0.4279924461628317,0.5692216456598576,-0.14122919949702584,0.6669643214285715,0.6750403571428573
1,[0.8-1.0],0,,,,,
2,[0.0-0.2),524,0.2117485715652104,0.2710498895886201,-0.05930131802340968,0.1253392671755725,0.20836479007633588
2,[0.2-0.4),140,0.24452010206626715,0.3110722317441756,-0.06655212967790844,0.2957142928571429,0.30680957857142854
2,[0.4-0.6),113,0.30958522454767395,0.40682695224474463,-0.09724172769707068,0.48434117699115037,0.46329638938053097
2,[0.6-0.8),55,0.39441378472434724,0.4863920005497505,-0.09197821582540328,0.6855050727272727,0.638405509090909
2,[0.8-1.0],1,0.7694535793690891,0.6486486426588752,0.12080493671021386,0.844444,0.75
4,[0.0-0.2),1,0.35492196310970514,0.0,0.35492196310970514,0.180556,0.45
4,[0.2-0.4),41,0.22044037881350365,0.30661343187366596,-0.08617305306016232,0.32669375609756096,0.20511551219512197
4,[0.4-0.6),140,0.2581731793556574,0.2983826614136768,-0.040209482058019386,0.5150991785714286,0.26021987857142853
4,[0.6-0.8),393,0.2571675067332454,0.2884537098542309,-0.03128620312098551,0.7157266234096692,0.29505730788804074
4,[0.8-1.0],258,0.29163739698758395,0.35366231623149214,-0.06202491924390818,0.8659667945736435,0.37817122868217057
8,[0.0-0.2),0,,,,,
8,[0.2-0.4),5,0.428046153386817,0.6056249993167384,-0.1775788459299214,0.30000000000000004,0.22076919999999997
8,[0.4-0.6),3,0.3320428062495897,0.43712055914076564,-0.10507775289117594,0.4814813333333334,0.288889
8,[0.6-0.8),21,0.2734962451603661,0.30167649456380563,-0.02818024940343955,0.7443121904761905,0.360692619047619
8,[0.8-1.0],804,0.26761576183829666,0.3088025072205558,-0.04118674538225914,0.9700490074626867,0.31408911194029854
